time,h_s,h_max,t_p
2024-10-22T00:00:00,0.009,0.018,14.895
2024-10-22T00:30:00,0.009,0.018,18.204
2024-10-22T01:00:00,0.009,0.02,18.204
2024-10-22T01:30:00,0.009,0.019,16.384
2024-10-22T02:00:00,0.008,0.017,18.204
2024-10-22T02:30:00,0.008,0.023,16.384
2024-10-22T03:00:00,0.009,0.023,16.384
2024-10-22T03:30:00,0.009,0.018,16.384
2024-10-22T04:00:00,0.009,0.019,16.384
2024-10-22T04:30:00,0.009,0.022,16.384
2024-10-22T05:00:00,0.01,0.02,18.204
2024-10-22T05:30:00,0.01,0.02,16.384
2024-10-22T06:00:00,0.008,0.014,18.204
2024-10-22T06:30:00,0.009,0.019,16.384
2024-10-22T07:00:00,0.008,0.02,16.384
2024-10-22T07:30:00,0.009,0.019,18.204
2024-10-22T08:00:00,0.009,0.019,16.384
2024-10-22T08:30:00,0.108,2.659,20.48
2024-10-22T09:00:00,0.786,3.676,20.48
2024-10-22T09:30:00,4.323,20.703,18.204
2024-10-22T10:00:00,0.276,0.416,11.703
2024-10-22T10:30:00,0.263,0.45,11.703
2024-10-22T11:00:00,0.277,0.49,11.703
2024-10-22T11:30:00,0.263,0.49,10.24
2024-10-22T12:00:00,0.285,0.531,11.703
2024-10-22T12:30:00,0.284,0.434,11.703
2024-10-22T13:00:00,0.292,0.496,11.703
2024-10-22T13:30:00,0.279,0.465,10.923
2024-10-22T14:00:00,0.287,0.524,11.703
2024-10-22T14:30:00,0.272,0.542,10.923
2024-10-22T15:00:00,0.293,0.524,11.703
2024-10-22T15:30:00,0.284,0.473,10.923
2024-10-22T16:00:00,0.276,0.489,8.623
2024-10-22T16:30:00,0.279,0.522,11.703
2024-10-22T17:00:00,0.281,0.445,10.923
2024-10-22T17:30:00,0.271,0.464,10.923
2024-10-22T18:00:00,0.266,0.492,13.653
2024-10-22T18:30:00,0.252,0.389,12.603
2024-10-22T19:00:00,0.273,0.514,13.653
2024-10-22T19:30:00,0.235,0.365,11.703
2024-10-22T20:00:00,0.257,0.473,13.653
2024-10-22T20:30:00,0.242,0.409,11.703
2024-10-22T21:00:00,0.228,0.432,9.638
2024-10-22T21:30:00,0.225,0.4,13.653
2024-10-22T22:00:00,0.253,0.53,13.653
2024-10-22T22:30:00,0.238,0.368,13.653
2024-10-22T23:00:00,0.251,0.456,13.653
2024-10-22T23:30:00,0.248,0.336,6.827
2024-10-23T00:00:00,0.249,0.384,10.24
2024-10-23T00:30:00,0.254,0.393,11.703
2024-10-23T01:00:00,0.25,0.457,11.703
2024-10-23T01:30:00,0.234,0.459,11.703
2024-10-23T02:00:00,0.24,0.34,11.703
2024-10-23T02:30:00,0.25,0.385,12.603
2024-10-23T03:00:00,0.243,0.374,11.703
2024-10-23T03:30:00,0.251,0.413,12.603
2024-10-23T04:00:00,0.241,0.36,12.603
2024-10-23T04:30:00,0.239,0.383,13.653
2024-10-23T05:00:00,0.227,0.318,13.653
2024-10-23T05:30:00,0.245,0.43,13.653
2024-10-23T06:00:00,0.255,0.396,13.653
2024-10-23T06:30:00,0.265,0.442,13.653
2024-10-23T07:00:00,0.246,0.398,11.703
2024-10-23T07:30:00,0.256,0.407,12.603
2024-10-23T08:00:00,0.25,0.36,12.603
2024-10-23T08:30:00,0.263,0.368,13.653
2024-10-23T09:00:00,0.225,0.391,12.603
2024-10-23T09:30:00,0.242,0.323,13.653
2024-10-23T10:00:00,0.238,0.415,13.653
2024-10-23T10:30:00,0.236,0.422,10.24
2024-10-23T11:00:00,0.236,0.35,13.653
2024-10-23T11:30:00,0.228,0.369,5.851
2024-10-23T12:00:00,0.241,0.4,13.653
2024-10-23T12:30:00,0.23,0.362,5.851
2024-10-23T13:00:00,0.229,0.343,5.851
2024-10-23T13:30:00,0.221,0.32,13.653
2024-10-23T14:00:00,0.207,0.367,12.603
2024-10-23T14:30:00,0.2,0.319,11.703
2024-10-23T15:00:00,0.19,0.369,12.603
2024-10-23T15:30:00,0.184,0.277,11.703
2024-10-23T16:00:00,0.19,0.325,12.603
2024-10-23T16:30:00,0.195,0.287,11.703
2024-10-23T17:00:00,0.199,0.306,11.703
2024-10-23T17:30:00,0.204,0.294,11.703
2024-10-23T18:00:00,0.184,0.282,11.703
2024-10-23T18:30:00,0.189,0.322,11.703
2024-10-23T19:00:00,0.19,0.391,10.923
2024-10-23T19:30:00,0.2,0.334,11.703
2024-10-23T20:00:00,0.22,0.372,11.703
2024-10-23T20:30:00,0.209,0.302,10.923
2024-10-23T21:00:00,0.197,0.3,11.703
2024-10-23T21:30:00,0.206,0.376,10.24
2024-10-23T22:00:00,0.205,0.305,11.703
2024-10-23T22:30:00,0.208,0.347,10.24
2024-10-23T23:00:00,0.214,0.339,10.24
2024-10-23T23:30:00,0.191,0.298,10.24
2024-10-24T00:00:00,0.203,0.402,11.703
2024-10-24T00:30:00,0.197,0.304,12.603
2024-10-24T01:00:00,0.191,0.342,10.24
2024-10-24T01:30:00,0.186,0.286,12.603
2024-10-24T02:00:00,0.181,0.27,11.703
2024-10-24T02:30:00,0.183,0.288,9.638
2024-10-24T03:00:00,0.172,0.272,12.603
2024-10-24T03:30:00,0.184,0.348,11.703
2024-10-24T04:00:00,0.174,0.31,12.603
2024-10-24T04:30:00,0.171,0.282,8.623
2024-10-24T05:00:00,0.18,0.291,9.102
2024-10-24T05:30:00,0.184,0.288,7.802
2024-10-24T06:00:00,0.174,0.292,8.192
2024-10-24T06:30:00,0.183,0.272,9.638
2024-10-24T07:00:00,0.184,0.329,7.447
2024-10-24T07:30:00,0.19,0.295,10.923
2024-10-24T08:00:00,0.211,0.342,5.65
2024-10-24T08:30:00,0.194,0.289,12.603
2024-10-24T09:00:00,0.184,0.32,10.923
2024-10-24T09:30:00,0.195,0.356,8.192
2024-10-24T10:00:00,0.195,0.327,6.068
2024-10-24T10:30:00,0.195,0.332,5.851
2024-10-24T11:00:00,0.202,0.363,4.551
2024-10-24T11:30:00,0.222,0.457,6.554
2024-10-24T13:30:00,0.216,0.35,6.302
2024-10-24T14:00:00,0.233,0.368,5.65
2024-10-24T14:30:00,0.238,0.447,6.068
2024-10-24T15:00:00,0.248,0.42,5.65
2024-10-24T15:30:00,0.419,0.887,2.482
2024-10-24T16:00:00,0.596,1.013,4.428
2024-10-24T16:30:00,0.54,0.975,4.819
2024-10-24T17:00:00,0.503,0.984,4.428
2024-10-24T17:30:00,0.456,0.792,4.819
2024-10-24T18:00:00,0.41,0.602,8.623
2024-10-24T18:30:00,0.392,0.632,8.623
2024-10-24T19:00:00,0.386,0.684,8.623
2024-10-24T19:30:00,0.395,0.745,6.302
2024-10-24T20:00:00,0.415,0.732,9.102
2024-10-24T20:30:00,0.426,0.678,8.192
2024-10-24T21:00:00,0.441,0.694,8.192
2024-10-24T21:30:00,0.451,0.679,8.623
2024-10-24T22:00:00,0.451,0.781,7.802
2024-10-24T22:30:00,0.49,0.846,8.623
2024-10-24T23:00:00,0.482,0.78,7.447
2024-10-24T23:30:00,0.487,0.724,6.302
2024-10-25T00:00:00,0.508,0.784,7.802
2024-10-25T00:30:00,0.518,0.877,5.851
2024-10-25T01:00:00,0.549,0.759,5.851
2024-10-25T01:30:00,0.554,0.8,5.65
2024-10-25T02:00:00,0.558,0.925,7.447
2024-10-25T02:30:00,0.513,0.999,6.827
2024-10-25T03:00:00,0.497,0.841,6.554
2024-10-25T03:30:00,0.473,0.726,6.554
2024-10-25T04:00:00,0.48,0.714,6.302
2024-10-25T04:30:00,0.485,0.801,6.827
2024-10-25T05:00:00,0.455,0.849,6.827
2024-10-25T05:30:00,0.494,0.734,9.102
2024-10-25T06:00:00,0.471,0.819,6.068
2024-10-25T06:30:00,0.484,0.823,6.827
2024-10-25T07:00:00,0.494,0.853,6.068
2024-10-25T07:30:00,0.456,0.667,5.851
2024-10-25T08:00:00,0.445,0.685,5.461
2024-10-25T08:30:00,0.409,0.746,5.65
2024-10-25T09:00:00,0.405,0.633,7.802
2024-10-25T09:30:00,0.428,0.722,9.102
2024-10-25T10:00:00,0.425,0.638,9.102
2024-10-25T10:30:00,0.422,0.611,10.24
2024-10-25T11:00:00,0.47,0.73,7.447
2024-10-25T11:30:00,0.519,0.8,10.24
2024-10-25T12:00:00,0.517,0.84,6.827
2024-10-25T12:30:00,0.518,0.859,6.302
2024-10-25T13:00:00,0.552,0.956,10.923
2024-10-25T13:30:00,0.547,0.888,10.923
2024-10-25T14:00:00,0.556,0.915,11.703
2024-10-25T14:30:00,0.541,0.774,12.603
2024-10-25T15:00:00,0.531,0.791,11.703
2024-10-25T15:30:00,0.548,0.948,12.603
2024-10-25T16:00:00,0.545,0.743,10.923
2024-10-25T16:30:00,0.532,0.783,12.603
2024-10-25T17:00:00,0.51,0.737,12.603
